Sat1.A1ModJulian          Sat1.Earth.RadApo         Sat1.Earth.RadPer         Sat1.Earth.SMA            Sat1.Earth.SemilatusRectum   Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.ElapsedSecs          
29124.50042865025         95672.0000000001          23918                     59795.00000000005         38268.8                      -3.333058295007941        145515.1750192551         0                         5.163764746777641         0                         23918                     0                         0                         0                         
29124.50112309469         95672.00000000042         23918                     59795.00000000021         38268.80000000002            -3.333058295007932        145515.1750192556         -0.0418040201721593       5.16349399092458          0                         23916.74584870682         309.8204695684488         0                         59.99999988125637         
29124.50313026341         95672.00000000029         23918                     59795.00000000015         38268.80000000002            -3.333058295007936        145515.1750192554         -0.1625187390615428       5.159670198374479         0                         23899.02546711603         1205.00406099127          0                         233.4193770890124         
29124.50900318805         95672.00000000522         23917.99999999991         59795.00000000257         38268.80000000029            -3.333058295007801        145515.1750192643         -0.5123763790869049       5.122832596263776         0                         23727.5006739301          3815.381451877366         0                         740.8400657703169         
29124.51569159682         95672.00000001589         23917.99999999983         59795.00000000786         38268.80000000106            -3.333058295007506        145515.1750192835         -0.8977202589109325       5.036396539462499         0                         23319.18205316463         6752.969377263957         0                         1318.718583660666         
29124.52260037117         95672.0000000171          23918.00000000021         59795.00000000866         38268.80000000164            -3.333058295007461        145515.1750192865         -1.27193710987558         4.90255121715896          0                         22670.2149997404          9721.420168649038         0                         1915.636687225197         
29124.52976214674         95672.00000000423         23918.00000000117         59795.0000000027          38268.80000000184            -3.333058295007794        145515.1750192647         -1.626315569351697        4.724046053181828         0                         21771.6052279684          12701.63051630139         0                         2534.414096572436         
29124.53728730911         95671.99999997548         23918.00000000282         59794.99999998915         38268.80000000165            -3.333058295008549        145515.1750192153         -1.956245741150746        4.503298955616559         0                         20604.50873753277         15702.86487455134         0                         3184.588126069866         
29124.54526299935         95671.99999993115         23918.0000000051          59794.99999996812         38268.800000001              -3.333058295009721        145515.1750191385         -2.255887495918191        4.244393317589275         0                         19150.25295941444         18718.00770151422         0                         3873.687762301415         
29124.55308949008         95671.99999990707         23918.00000000624         59794.99999995665         38268.80000000056            -3.33305829501036         145515.1750190966         -2.500678525346789        3.976611300865608         0                         17539.36125157585         21498.04643241471         0                         4549.89656182006          
29124.56087475389         95671.99999989443         23918.00000000682         59794.99999995063         38268.8000000003             -3.333058295010696        145515.1750190746         -2.699021397545668        3.705900595347385         0                         15788.17516405965         24081.88298640225         0                         5222.543354344089         
29124.56881769514         95671.99999988747         23918.00000000715         59794.99999994731         38268.80000000014            -3.333058295010881        145515.1750190625         -2.859716536776746        3.432349112013746         0                         13878.52149472093         26530.94924242902         0                         5908.813478727825         
29124.57706591483         95671.99999988318         23918.00000000731         59794.99999994524         38268.80000000002            -3.333058295010996        145515.175019055          -2.987828526678309        3.156529752645231         0                         11792.7389475552          28878.09427143248         0                         6621.45966013195          
29124.58657610022         95671.99999987822         23918.00000000749         59794.99999994285         38268.79999999985            -3.33305829501113         145515.1750190463         -3.094286066468086        2.853581835573749         0                         9291.213046369376         31346.0637931817          0                         7443.139677622821         
29124.59591354791         95671.99999987789         23918.00000000748         59794.99999994269         38268.79999999979            -3.333058295011138        145515.1750190457         -3.163624423675112        2.574602721555501         0                         6764.817645393231         33534.38748886904         0                         8249.895157653373         
29124.6066434059          95671.99999988041         23918.00000000732         59794.99999994387         38268.79999999982            -3.333058295011073        145515.17501905           -3.209227423409128        2.277976586108212         0                         3808.322782639935         35781.71314523002         0                         9176.954887958709         
29124.61825101718         95671.99999988596         23918.00000000709         59794.99999994653         38268.79999999994            -3.333058295010924        145515.1750190597         -3.226977382928164        1.985647356356096         0                         578.5224333732765         37917.27339656133         0                         10179.85250309575         
29124.62032581241         95671.99999988569         23918.00000000705         59794.99999994637         38268.7999999999             -3.333058295010933        145515.1750190591         -3.227352966736833        1.936411951456783         0                         0.0020325980423479        38268.79878043144         0                         10359.11481091753         
